Titre,Année,Public,Durée,Genre,Note,Synopsis,Acteurs,Langues,Pays d'origine,Nombre d'épisodes,Nombre de saisons
Fullmetal Alchemist,2003–2004,Tous Public,"24,m","Animation,Action,Adventure",8.5,"When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them; the fabled philosopher's st...","Vic Mignogna,Aaron Dismuke,Romi Park,Rie Kugimiya,Maria Tamar,Travis Willingham,Tôru Ohkawa,Colleen Clinkenbeard,Caitlin Glass,Christopher Sabat,Kenji Utsumi,Megumi Toyoguchi,Michiko Neya,Laura Bailey,Yûko Satô,Mike McFarland,Ed Blaylock,Yasunori Matsumoto",Japanese,Japan,51,2 years
Orange Is the New Black,2013–2019,16,"59,m","Comedy,Crime,Drama",8.0,"Convicted of a decade old crime of transporting drug money to an ex-girlfriend, normally law-abiding Piper Chapman is sentenced to a year and a half behind bars to face the reality of how li...","Taylor Schilling,Danielle Brooks,Taryn Manning,Emma Myles,Kate Mulgrew,Uzo Aduba,Dascha Polanco,Selenis Leyva,Nick Sandow,Yael Stone,Jackie Cruz,Adrienne C. Moore,Laura Prepon,Natasha Lyonne,Jessica Pimentel,Elizabeth Rodriguez,Laura Gómez,Michael Harney",English,United States,91,7 seasons
American Crime Story,2016– ,12,"42,m","Biography,Crime,Drama",8.4,An anthology series centered around America's most notorious crimes and criminals.,"Sarah Paulson,Annaleigh Ashford,Sterling K. Brown,Kenneth Choi,Beanie Feldstein,Christian Clemenson,Cuba Gooding Jr.,Margo Martindale,Bruce Greenwood,Edie Falco,Nathan Lane,Clive Owen,David Schwimmer,John Travolta,Courtney B. Vance,Darren Criss,Dale Godboldo,Ariel D. King",English,United States,30,3 seasons
Unbelievable,2019,16,"6,h, ,25,m","Crime,Drama",8.4,"A teenager is charged with lying about having been raped, but two detectives follow the path to the truth.","Kaitlyn Dever,Toni Collette,Merritt Wever,Blake Ellis,Dale Dickey,Liza Lapira,Kai Lennox,Omar Maskati,Valery Altamar,Austin Hébert,Eric Lange,Scott Lawrence,Danielle Macdonald,Connor Tillman,Elizabeth Marvel,Patricia Fa'asua,Max Arciniega,Jun Hee Lee",English,United States,8,1 season
The Americans,2013–2018,Tous publics,"44,m","Crime,Drama,Mystery",8.4,"At the height of the Cold War two Russian agents pose as your average American couple, complete with family.","Keri Russell,Matthew Rhys,Keidrich Sellati,Holly Taylor,Noah Emmerich,Costa Ronin,Lev Gorn,Richard Thomas,Alison Wright,Brandon J. Dirden,Annet Mahendru,Susan Misner,Margo Martindale,Frank Langella,Danny Flaherty,Kelly AuCoin,Vera Cherny,Aaron Roman Weiner",English,United States,75,6 seasons
Les Boloss: Loser Attitude,2008–2010,TV-14,"25,m",Comedy,8.4,Follows four friends and their antics during their final years of school.,"Simon Bird,James Buckley,Blake Harrison,Joe Thomas,Greg Davies,Emily Head,Martin Trenaman,Belinda Stewart-Wilson,Robin Weaver,Henry Lloyd-Hughes,John Seaward,Dominic Applewhite,Emily Atack,David Schaal,Alex Macqueen,Richie Hart,Lily Lovett,Victoria Willing",English,United Kingdom,18,3 seasons
Banshee,2013–2016,16,"1,h","Action,Crime,Drama",8.4,"An ex-con assumes the identity of a murdered sheriff in the small town of Banshee, Pennsylvania, where he has some unfinished business.","Antony Starr,Ivana Milicevic,Ulrich Thomsen,Frankie Faison,Matt Servitto,Hoon Lee,Ryann Shane,Lili Simmons,Matthew Rauch,Rus Blackwell,Trieste Kelly Dunn,Demetrius Grosse,Ben Cross,Anthony Ruivivar,Tom Pelphrey,Afton Williamson,Gabriel Suttle,Geno Segers",English,United States,38,4 seasons
What We Do in the Shadows,2016– ,12,"30,m","Comedy,Fantasy,Horror",8.6,"A look into the daily (or rather, nightly) lives of three vampires, who've lived together for over 100 years, on Staten Island.","Kayvan Novak,Matt Berry,Natasia Demetriou,Harvey Guillén,Mark Proksch,Kristen Schaal,Doug Jones,Anthony Atamanuik,Veronika Slowikowska,Jake McDorman,Beanie Feldstein,Gloria Laino,Karly Bon,Kae Kae Lee,Indiana Mehta,Taika Waititi,Gavin Fox,Chris Sandiford",English,United States,31,4 seasons
Stargate SG-1,1997–2007,Tous publics,"44,m","Action,Adventure,Drama",8.4,"A secret military team, SG-1, is formed to explore other planets through the recently discovered Stargates.","Richard Dean Anderson,Michael Shanks,Amanda Tapping,Christopher Judge,Don S. Davis,Gary Jones,Teryl Rothery,Dan Shea,Ben Browder,Beau Bridges,Claudia Black,Peter Kufluk,Corin Nemec,Tony Amendola,Peter DeLuise,Carmen Argenziano,Fraser Aitcheson,Peter Williams",English,"United States,Canada",213,10 seasons
After Life,2019– ,16,"30,m","Comedy,Drama",8.4,"After Tony's wife dies unexpectedly, his nice-guy persona is altered into an impulsive, devil-may-care attitude; taking his old world by storm.","Ricky Gervais,Tom Basden,Tony Way,Diane Morgan,Mandeep Dhillon,David Bradley,Kerry Godliman,Ashley Jensen,Paul Kaye,Anti,Penelope Wilton,Joe Wilkinson,Michelle Greenidge,Roisin Conaty,Tommy Finnegan,Jo Hartley,David Earl,Ethan Lawrence",English,United Kingdom,18,2 seasons
Peep Show,2003–2015,TV-MA,"25,m",Comedy,8.6,Mark and Jez are a couple of twenty-something roommates who have nothing in common - except for the fact that their lives are anything but normal. Mayhem ensues as the pair strive to cope wi...,"David Mitchell,Robert Webb,Matt King,Olivia Colman,Neil Fitzmaurice,Isy Suttie,Paterson Joseph,Sophie Winkleman,Jim Howick,Rachel Blanchard,Elizabeth Marmur,Vera Graziadei,Camilla Beeput,Emily Bruni,Paul Clayton,Cariad Lloyd,Catherine Shepherd,Endy McKay",English,United Kingdom,54,9 seasons
American Horror Story,2011– ,12,"1,h","Drama,Horror,Thriller",8.0,"An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possess...","Lady Gaga,Kathy Bates,Angela Bassett,Sarah Paulson,Evan Peters,Denis O'Hare,Lily Rabe,Frances Conroy,Jessica Lange,Emma Roberts,Cheyenne Jackson,Adina Porter,Billie Lourd,Leslie Grossman,Taissa Farmiga,Finn Wittrock,Wes Bentley,Cody Fern",English,United States,116,12 seasons
The Last Kingdom,2015– ,10,"1,h","Action,Drama,History",8.4,"As Alfred the Great defends his kingdom from Norse invaders, Uhtred - born a Saxon but raised by Vikings - seeks to claim his ancestral birthright.","Alexander Dreymon,Eliza Butterworth,Arnas Fedaravicius,Millie Brady,Emily Cox,Mark Rowley,Ian Hart,James Northcote,Ewan Mitchell,David Dawson,Harry McEntire,Timothy Innes,Cavan Clerkin,Adrian Bouchet,Jeppe Beck Laursen,Toby Regbo,Adrian Schiller,Eva Birthistle","English,Latin",United Kingdom,46,5 seasons
Louie,2010–2015,TV-MA,"22,m","Comedy,Drama",8.5,"The life of Louie C.K., a divorced comedian living in New York with two kids.","Louis C.K.,Hadley Delany,Ursula Parker,Pamela Adlon,Steve Fabricant,Susan Kelechi Watson,Nick Di Paolo,Todd Barry,Jim Norton,Robert Kelly,William Stephenson,Edward Gelbinovich,Gary Wilmes,Eszter Balint,Ellen Burstyn,Charles Grodin,Parker Posey,Amy Landecker",English,United States,61,5 seasons
Atlanta,2016– ,12,"30,m","Comedy,Drama,Music",8.6,"Based in Atlanta, Earn and his cousin Alfred try to make their way in the world through the rap scene. Along the way they come face to face with social and economic issues touching on race, ...","Donald Glover,Brian Tyree Henry,LaKeith Stanfield,Zazie Beetz,Khris Davis,RJ Walker,Harold House Moore,Matthew Barnes,Myra Lucretia Taylor,Cranston Johnson,Griffin Freeman,Derrick Haywood,Brandon Hirsch,Diane Sellers,Emmett Hunter,Monique Grant,Dennis L.A. White,Rick Holmes",English,United States,39,4 seasons
Anne with an E,2017–2019,13,"1,h","Drama,Family",8.7,"The adventures of a young orphan girl living in the late 19th century. Follow Anne as she learns to navigate her new life on Prince Edward Island, in this new take on L.M. Montgomery's class...","Amybeth McNulty,Geraldine James,R.H. Thomson,Dalila Bela,Lucas Jade Zumann,Corrine Koslo,Helen Johns,Aymeric Jett Montaz,Kyla Matthews,Jonathan Holmes,Lia Pappas-Kemps,Jacob Ursomarzo,Dalmar Abuzeid,Miranda McKeon,Jacob Horsley,Glenna Walters,Christian Martyn,Philip Williams","Micmac,French,English",Canada,27,3 seasons
Broadchurch,2013–2017,Tous publics,"48,m","Crime,Drama,Mystery",8.4,"The murder of a young boy in a small coastal town brings a media frenzy, which threatens to tear the community apart.","David Tennant,Olivia Colman,Jodie Whittaker,Andrew Buchan,Carolyn Pickles,Arthur Darvill,Charlotte Beaumont,Adam Wilson,Matthew Gravelle,Jonathan Bailey,Joe Sims,Simone McAullay,Tanya Franks,Pauline Quirke,Steve Bennett,Benji Yapp,William Andrews,Oskar McNamara",English,United Kingdom,24,3 seasons
Le décalogue,1989–1990,TV-MA,"9,h, ,32,m",Drama,9.0,"Ten television drama films, each one based on one of the Ten Commandments.","Artur Barcis,Olgierd Lukaszewicz,Aleksander Bardini,Olaf Lubaszenko,Krystyna Janda,Piotr Machalica,Jan Tesarz,Stanislaw Gawlik,Krzysztof Kumor,Katarzyna Piwowarczyk,Maciej Szary,Henryk Baranowski,Miroslaw Baka,Adrianna Biedrzynska,Ewa Blaszczyk,Maria Koscialkowska,Daniel Olbrychski,Anna Polony",Polish,"Poland,West Germany",10,2 years
La Légende de Korra,2012–2014,Tous publics,"23,m","Animation,Action,Adventure",8.4,Avatar Korra fights to keep Republic City safe from the evil forces of both the physical and spiritual worlds.,"Janet Varney,P.J. Byrne,David Faustino,J.K. Simmons,Jeff Bennett,Dee Bradley Baker,Seychelle Gabriel,Mindy Sterling,Logan Wells,Kiernan Shipka,John Michael Higgins,Darcy Rose Byrnes,Maria Bamford,Richard Riehle,James Remar,Adrian LaTourelle,Anne Heche,Lisa Edelstein",English,United States,52,4 seasons
Friday Night Lights,2006–2011,Tous publics,"44,m","Drama,Sport",8.6,"A drama that follows the lives of the Dillon Panthers, one of the nation's best high school football teams, and their head coach Eric Taylor.","Kyle Chandler,Connie Britton,Zach Gilford,Aimee Teegarden,Brad Leland,Taylor Kitsch,Jesse Plemons,Derek Phillips,Blue Deckert,Minka Kelly,Adrianne Palicki,Timothy F. Crowley,Louanne Stephens,Stacey Oristano,Scott Porter,Gaius Charles,David Cowgill,Gary Teague",English,United States,76,5 seasons
Lucifer,2016–2021,10,"42,m","Crime,Drama,Fantasy",8.1,Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the Ci...,"Tom Ellis,Lauren German,Kevin Alejandro,D.B. Woodside,Lesley-Ann Brandt,Rachael Harris,Aimee Garcia,Scarlett Estevez,Tricia Helfer,Tom Welling,Inbar Lavi,Brianna Hildebrand,Kevin Rankin,Graham McTavish,Scott Porter,Genevieve Gauss,John Specogna,Dennis Haysbert",English,United States,93,6 seasons
Taboo,2017– ,12,"59,m","Drama,Mystery,Thriller",8.4,"Adventurer James Keziah Delaney returns to London during the War of 1812 to rebuild his late father's shipping empire. However, both the government and his biggest competitor want his inheri...","Tom Hardy,David Hayman,Jonathan Pryce,Oona Chaplin,Richard Dixon,Leo Bill,Edward Hogg,Ruby-May Martinwood,Jessie Buckley,Stephen Graham,Franka Potente,James Greaves,Michael Kelly,Louis Ashbourne Serkis,Jefferson Hall,Jason Watkins,Danny Ligairi,Scroobius Pip",English,United Kingdom,16,1 season
Demon Slayer,2019– ,Tous publics avec avertissement,"25,m","Animation,Action,Adventure",8.7,"A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his famil...","Natsuki Hanae,Zach Aguilar,Abby Trott,Akari Kitô,Aleks Le,Hiro Shimono,Yoshitsugu Matsuoka,Bryce Papenbrook,Doug Erholtz,Johnny Yong Bosch,Brook Chalmers,Takahiro Sakurai,Saori Hayami,Erika Harlacher,Takumi Yamazaki,Shinya Takahashi,Hôchû Ôtsuka,Greg Chun",Japanese,Japan,34,2 seasons
Squid Game,2021– ,16,"55,m","Action,Drama,Mystery",8.1,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits with deadly high stakes. A survival game that has a whopping 45....","Lee Jung-jae,Park Hae-soo,Wi Ha-Joon,Jung Hoyeon,Oh Yeong-su,Heo Sung-tae,Anupam Tripathi,Greg Chun,Kim Joo-Ryung,Stephen Fu,Tom Choi,Vivian Lu,Rama Vallury,Paul Nakauchi,Hideo Kimura,Donald Chang,Stephanie Komure,Lee Byung-hun","Korean,English,Urdu",South Korea,10,1 season
Luther,2010–2019,12,"1,h","Crime,Drama,Mystery",8.4,DCI John Luther is a near-genius murder detective whose brilliant mind can't always save him from the dangerous violence of his passions.,"Idris Elba,Dermot Crowley,Michael Smiley,Warren Brown,Ruth Wilson,Paul McGann,Nikki Amuka-Bird,Steven Mackintosh,Saskia Reeves,Indira Varma,Patrick Malahide,Sienna Guillory,Aimee-Ffion Edwards,David O'Hara,Kierston Wareing,Michael Obiora,Anton Valensi,Enzo Cilenti",English,United Kingdom,21,5 seasons
Code Geass: Lelouch of the Rebellion,2006–2012,13,"24,m","Animation,Action,Drama",8.7,"After being given a mysterious power to control others, an outcast prince becomes the masked leader of the rebellion against an all powerful empire","Jun Fukuyama,Takahiro Sakurai,Johnny Yong Bosch,Yukana,Ami Koshimizu,Yuri Lowenthal,Kate Higgins,Karen Strassman,Brian Beacock,Noriaki Sugiyama,Tetsu Shiratori,Akeno Watanabe,Liam O'Brien,Sayaka Ôhara,Kikuko Inoue,Mitsuaki Madono,Kirk Thornton,Deborah Sale Butler",Japanese,Japan,54,2 seasons
Les Griffin,1999– ,10,"22,m","Animation,Comedy",8.1,"In a wacky Rhode Island town, a dysfunctional family strive to cope with everyday life as they are thrown from one crazy scenario to another.","Seth MacFarlane,Alex Borstein,Seth Green,Mila Kunis,Mike Henry,John Viener,Patrick Warburton,Danny Smith,Ralph Garman,Alec Sulkin,Rachael MacFarlane,Adam West,Chris Cox,Fred Tatasciore,John G. Brennan,Kevin Michael Richardson,Mark Hentemann,Jennifer Tilly","English,Portuguese",United States,380,21 seasons
Battlestar Galactica,2003,TV-14,"3,h, ,3,m","Action,Adventure,Drama",8.6,"Following the destruction of the Twelve Colonies of Kobol by the Cylons, a rag-tag fugitive fleet of the last remnants of mankind flees the pursuing Cylons while simultaneously searching for...","Edward James Olmos,Mary McDonnell,Katee Sackhoff,Jamie Bamber,James Callis,Tricia Helfer,Callum Keith Rennie,Grace Park,Michael Hogan,Matthew Bennett,Paul Campbell,Aaron Douglas,Barclay Hope,Lorena Gale,Kandyse McClure,Connor Widdows,John Mann,Alessandro Juliani",English,United States,2,2 years
Californication,2007–2014,16,"28,m","Comedy,Drama",8.3,"A writer tries to juggle his career, his relationship with his daughter and his ex-girlfriend, as well as his appetite for beautiful women.","David Duchovny,Natascha McElhone,Evan Handler,Pamela Adlon,Madeleine Martin,Stephen Tobolowsky,Madeline Zima,Callum Keith Rennie,Jason Beghe,Rachel Miner,Michael Imperioli,Oliver Cooper,Carla Gallo,Kathleen Turner,Scott Michael Foster,Embeth Davidtz,Carla Gugino,Tim Minchin",English,United States,84,7 seasons
Schitt's Creek,2015–2020,Tous publics,"22,m",Comedy,8.5,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek.","Eugene Levy,Catherine O'Hara,Dan Levy,Annie Murphy,Chris Elliott,Emily Hampshire,Jennifer Robertson,Sarah Levy,Karen Robinson,Dustin Milligan,Noah Reid,John Hemphill,Tim Rozon,Marilyn Bellfontaine,Mary Kelly,Jennifer Foster,Lili Connor,Rizwan Manji",English,"Canada,United States",80,6 seasons
Yellowstone,2018– ,10,"1,h","Drama,Western",8.7,A ranching family in Montana faces off against others encroaching on their land.,"Kevin Costner,Luke Grimes,Kelly Reilly,Wes Bentley,Cole Hauser,Kelsey Asbille,Brecken Merrill,Jefferson White,Gil Birmingham,Forrie J. Smith,Denim Richards,Ian Bohen,Mo Brings Plenty,Jake Ream,Danny Huston,Ryan Bingham,Wendy Moniz-Grillo,Jen Landon",English,United States,37,4 seasons
La Forêt de l'Étrange,2014,TV-PG,"22,m","Animation,Adventure,Drama",8.8,Two brothers find themselves lost in a mysterious land and try to find their way home.,"Elijah Wood,Collin Dean,Melanie Lynskey,Christopher Lloyd,Samuel Ramey,Jack Jones,John Cleese,Emily Brundige,Shirley Jones,Fred Stoller,Cole Sanchez,Sam Marin,Chris Isaak,Janet Klein,Tim Curry,Noureen DeWulf,Bebe Neuwirth,Deborah Voigt",English,United States,10,1 season
24 heures chrono,2001–2010,Tous publics,"44,m","Action,Crime,Drama",8.3,Jack Bauer races against the clock to subvert terrorist plots and save his nation from ultimate disaster.,"Kiefer Sutherland,Mary Lynn Rajskub,Carlos Bernard,Dennis Haysbert,Elisha Cuthbert,Kim Raver,James Morrison,Reiko Aylesworth,Jude Ciccolella,Glenn Morshower,D.B. Woodside,Roger Cross,Penny Johnson Jerald,Cherry Jones,Gregory Itzin,Annie Wersching,Louis Lombardi,Sarah Clarke","English,Russian,German,Korean,Arabic,Spanish,Serbian,Mandarin",United States,207,9 seasons
The Office,2001–2003,TV-MA,"30,m","Comedy,Drama",8.5,The story of an office that faces closure when the company decides to downsize its branches. A documentary film crew follow staff and the manager David Brent as they continue their daily liv...,"Ricky Gervais,Martin Freeman,Mackenzie Crook,Lucy Davis,Ewen MacIntosh,Ben Bradshaw,Jamie Deeks,Jane Lucas,Emma Manton,Alexander Perkins,Philip Pickard,Joel Beckett,Patrick Baladi,Julie Fernandez,Rachel Isaac,Howard Saddler,Stirling Gallacher,Ralph Ineson",English,United Kingdom,14,3 seasons
Le Seigneur de Bombay,2018–2019,16,"50,m","Action,Crime,Drama",8.6,"A link in their pasts leads an honest cop to a fugitive gang boss, whose cryptic warning spurs the officer on a quest to save Mumbai from cataclysm.","Saif Ali Khan,Nawazuddin Siddiqui,Neeraj Kabi,Elnaaz Norouzi,Aamir Bashir,Shalini Vatsa,Jatin Sarna,Luke Kenny,Chittaranjan Tripathy,Pankaj Tripathi,Radhika Apte,Jitendra Joshi,Girish Kulkarni,Surveen Chawla,Kubbra Sait,Rajshri Deshpande,Saurabh Sachdeva,Vikram Kochhar",Hindi,"India,United States",16,2 seasons
Outlander,2014– ,16,"1,h","Drama,Fantasy,Romance",8.4,An English combat nurse from 1945 is mysteriously swept back in time to 1743.,"Caitriona Balfe,Sam Heughan,Duncan Lacroix,Sophie Skelton,Richard Rankin,Tobias Menzies,César Domboy,Lauren Lyle,John Bell,Graham McTavish,Grant O'Rourke,Caitlin O'Ryan,Stephen Walters,Ed Speleers,Romann Berrux,David Berry,Colin McFarlane,Maria Doyle Kennedy","English,Gaelic",United States,87,6 seasons
Adventure Time avec Finn et Jake,2010–2018,Tous publics,"11,m","Animation,Action,Adventure",8.6,"A 12-year-old boy and his best friend, wise 28-year-old dog with magical powers, go on a series of surreal adventures with each other in a remote future.","John DiMaggio,Jeremy Shada,Tom Kenny,Hynden Walch,Niki Yang,Pendleton Ward,Dee Bradley Baker,Maria Bamford,Steve Little,Olivia Olson,Kent Osborne,Cole Sanchez,Polly Lou Livingston,Jessica DiCicco,Andy Milonakis,Jackie Buscarino,Tom Herpich,Justin Roiland","English,Korean","United States,South Korea",289,10 seasons
Mare of Easttown,2021,12,"1,h","Crime,Drama,Mystery",8.5,A detective in a small Pennsylvania town investigates a local murder while trying to keep her life from falling apart.,"Kate Winslet,Julianne Nicholson,Jean Smart,Angourie Rice,John Douglas Thompson,Joe Tippett,Cameron Mann,Jack Mulhern,Izzy King,Justin Hurtt-Dunkley,Sosie Bacon,David Denman,Neal Huff,James McArdle,Guy Pearce,Ruby Cruz,Enid Graham,Chinasa Ogbuagu",English,United States,7,1 season
Steins;Gate,2011–2015,13,"24,m","Animation,Comedy,Drama",8.8,"After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans.","Mamoru Miyano,Asami Imai,Kana Hanazawa,Ashly Burch,J. Michael Tatum,Trina Nishimura,Tomokazu Seki,Tyson Rinehart,Cherami Leigh,Yukari Tamura,Saori Gotô,Yû Kobayashi,Masaki Terasoma,Jessica Cavanagh,Christopher Sabat,Lindsay Seidel,Haruko Momoi,Ayano Yamamoto","Japanese,English",Japan,26,4 years
Justified,2010–2015,Tous publics,"44,m","Action,Crime,Drama",8.6,"U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky.","Timothy Olyphant,Nick Searcy,Joelle Carter,Jacob Pitts,Erica Tazel,Walton Goggins,Natalie Zea,Jere Burns,David Meunier,Jonathan Kowalsky,Rick Gomez,Raymond J. Barry,Jesse Luken,Damon Herriman,Jeremy Davies,Justin Welborn,Mykelti Williamson,Kaitlyn Dever",English,United States,78,6 seasons
Blackadder Goes Forth,1989,TV-PG,"2,h, ,55,m","Comedy,War",8.8,"Stuck in the middle of World War I, Captain Edmund Blackadder does his best to escape the banality of the war.","Rowan Atkinson,Tony Robinson,Stephen Fry,Hugh Laurie,Tim McInnerny,Gabrielle Glaister,Jeremy Hardy,Rik Mayall,Geoffrey Palmer,Miranda Richardson,Adrian Edmondson,Stephen Frost,Bill Wallis,Hugo Blick,Lee Cornes,Paul Mark Elliott,Jeremy Gittins,Russell Brook",English,United Kingdom,6,1 season
Entourage,2004–2011,Tous publics,"28,m","Comedy,Drama",8.4,Film star Vince Chase navigates the vapid terrain of Los Angeles with a close circle of friends and his trusty agent.,"Kevin Connolly,Adrian Grenier,Kevin Dillon,Jerry Ferrara,Jeremy Piven,Rex Lee,Perrey Reeves,Debi Mazar,Emmanuelle Chriqui,Rhys Coiro,Beverly D'Angelo,Constance Zimmer,Scott Caan,Cassidy Lehrman,Jonathan Keltz,Jordan Belfi,Kate Albrecht,Lucas Ellin",English,United States,96,8 seasons
Loki,2021– ,12,,"Action,Adventure,Fantasy",8.3,The mercurial villain Loki resumes his role as the God of Mischief in a new series that takes place after the events of “Avengers: Endgame.”,"Tom Hiddleston,Owen Wilson,Gugu Mbatha-Raw,Sophia Di Martino,Wunmi Mosaku,Lauren Revard,Tara Strong,Neil Ellice,Sarafina King,Ilan Muallem,Sasha Lane,Eugene Cordero,Philip Fornah,David A MacDonald,Michelle Rose,Alvin Chon,Richard E. Grant,Jack Veal",English,United States,7,1 season
The Expanse,2015– ,13,"1,h","Drama,Mystery,Sci-Fi",8.5,"In the 24th century, a group of humans untangle a vast plot which threatens the Solar System's fragile state of detente.","Wes Chatham,Steven Strait,Dominique Tipper,Shohreh Aghdashloo,Cas Anvar,Frankie Adams,Cara Gee,Shawn Doyle,Thomas Jane,Florence Faivre,Chad L. Coleman,Nadine Nicole,Keon Alexander,Jasai Chase Owens,Andrew Rotilio,Nick E. Tarabay,Anna Hopkins,David Strathairn",English,"Canada,United States",62,6 seasons
"Love, Death & Robots",2019– ,18,"15,m","Animation,Short,Action",8.5,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy.","Scott Whyte,Nolan North,Steven Pacey,Emily O'Brien,Fred Tatasciore,Matthew Yang King,Michelle C. Bonilla,Chris Cox,Ike Amadi,Noshir Dalal,Piotr Michael,Mary Elizabeth Winstead,Samira Wiley,Kevin Michael Richardson,Maurice LaMarche,Josh Brener,Helen Sadler,Stefan Kapicic",English,United States,26,2 seasons
The Shield,2002–2008,12,"47,m","Crime,Drama,Thriller",8.7,Follows the lives and cases of a dirty Los Angeles Police Department cop and the unit under his command.,"Michael Chiklis,Michael Jace,Jay Karnes,CCH Pounder,Walton Goggins,Benito Martinez,Catherine Dent,Cathy Cahlin Ryan,David Rees Snell,Kenny Johnson,David Marciano,Autumn Chiklis,Paula Garcés,Michele Hicks,Melanie Myers,Joel Rosenthal,Matt Corboy,Chaney Kley",English,United States,89,7 seasons
Sex Education,2019– ,16,"45,m","Comedy,Drama",8.3,A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.,"Asa Butterfield,Gillian Anderson,Emma Mackey,Ncuti Gatwa,Connor Swindells,Kedar Williams-Stirling,Aimee Lou Wood,Alistair Petrie,Tanya Reynolds,Patricia Allison,Mikael Persbrandt,Jim Howick,Mimi Keene,Chris Jenks,Chaneil Kular,Rakhee Thakrar,Samantha Spiro,Chinenye Ezeudu",English,United Kingdom,25,3 seasons
Deadwood,2004–2006,Tous publics,"55,m","Crime,Drama,History",8.6,"A show set in the late 1800s, revolving around the characters of Deadwood, South Dakota; a town of deep corruption and crime.","Timothy Olyphant,Ian McShane,Molly Parker,Brad Dourif,W. Earl Brown,John Hawkes,Paula Malcomson,Dayton Callie,Leon Rippy,William Sanderson,Robin Weigert,Sean Bridgers,Bree Seanna Wall,Jim Beaver,Jeffrey Jones,Kim Dickens,Powers Boothe,Titus Welliver","English,Irish Gaelic",United States,36,3 seasons
Person of Interest,2011–2016,Tous publics,"43,m","Action,Crime,Drama",8.4,"An ex-CIA agent and a wealthy programmer save lives via a surveillance AI that sends them the identities of civilians involved in impending crimes. However, the details of the crimes, includ...","Jim Caviezel,Taraji P. Henson,Kevin Chapman,Michael Emerson,Amy Acker,Sarah Shahi,John Nolan,Enrico Colantoni,Robert John Burke,Al Sapienza,Boris McGiver,Brett Cullen,Clarke Peters,David Valcin,John Doman,Paige Turco,Jay O. Sanders,Brennan Brown",English,United States,103,5 seasons
Spartacus: les dieux de l'arène,2011,16,"5,h, ,31,m","Action,Adventure,Biography",8.5,"In the time before the arrival of Spartacus, the House of Batiatus faces many challenges from competitors, and within its own household.","John Hannah,Manu Bennett,Peter Mensah,Dustin Clare,Nick E. Tarabay,Lucy Lawless,Craig Walsh-Wrightson,Lesley-Ann Brandt,Antonio Te Maioha,Stephen Lovatt,Shane Rangi,Jessica Grace Smith,Raicho Vasilev,Ioane King,Marisa Ramirez,Gareth Williams,Jeffrey Thomas,Jaime Murray","English,Assyrian Neo-Aramaic",United States,6,1 season
Naruto: Shippuden,2007–2017,Tous Public,"24,m","Animation,Action,Adventure",8.6,"Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of...","Junko Takeuchi,Maile Flanagan,Kate Higgins,Chie Nakamura,Dave Wittenberg,Kazuhiko Inoue,Kyle Hebert,Yuri Lowenthal,Noriaki Sugiyama,Masako Katsuki,Debi Mae West,Colleen O'Shaughnessey,Steve Blum,Stephanie Sheh,Shôtarô Morikubo,Tom Gibis,Rikiya Koyama,Troy Baker","English,Japanese",Japan,502,11 years
The Night Of,2016,TV-MA,"8,h, ,45,m","Crime,Drama,Mystery",8.5,"After a night of partying with a woman he picked up, a man wakes up to find her stabbed to death and is charged with her murder.","Riz Ahmed,John Turturro,Bill Camp,Amara Karan,Payman Maadi,Jeannie Berlin,Poorna Jagannathan,Michael Kenneth Williams,Paul Sparks,Syam M. Lafi,David Cheekz Weeks,Sofia Black-D'Elia,Afton Williamson,Paulo Costanzo,Nabil Elouahabi,Mustafa Shakir,Joshua Bitton,Lord Jamar",English,United States,8,1 season
Silicon Valley,2014–2019,Tous publics,"28,m",Comedy,8.5,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper.","Thomas Middleditch,T.J. Miller,Josh Brener,Martin Starr,Kumail Nanjiani,Amanda Crew,Zach Woods,Matt Ross,Jimmy O. Yang,Suzanne Cryer,Chris Diamantopoulos,Chris Williams,Stephen Tobolowsky,Rogelio T. Ramos,Scott Prendergast,Aly Mawji,Jill E. Alexander,Bernard White",English,United States,53,6 seasons
