Titre,Année,Public,Durée,Genre,Note,Synopsis,Acteurs,Langues,Pays d'origine,Nombre d'épisodes,Nombre de saisons
M.A.S.H.,1972–1983,Tous publics,"25,m","Comedy,Drama,War",8.4,The staff of an Army hospital in the Korean War find that laughter is the best way to deal with their situation.,"Alan Alda,Wayne Rogers,Loretta Swit,Jamie Farr,William Christopher,Harry Morgan,Gary Burghoff,Mike Farrell,Kellye Nakahara,David Ogden Stiers,Larry Linville,Jeff Maxwell,McLean Stevenson,Roy Goldman,Todd Susman,Sal Viscuso,Odessa Cleveland,Dennis Troy",,United States,251,11 seasons
La Ligue des justiciers,2001–2004,Tous Public,"22,m","Animation,Action,Adventure",8.5,Seven of the most formidable heroes form arguably the most powerful team ever.,"Carl Lumbly,Phil LaMarr,Michael Rosenbaum,George Newbern,Maria Canals-Barrera,Kevin Conroy,Susan Eisenberg,Jason Marsden,Mark Hamill,Clancy Brown,Corey Burton,Jennifer Hale,Phil Morris,Olivia d'Abo,Susan Sullivan,Richard Doyle,Brian George,Kevin Michael Richardson",English,United States,52,2 seasons
Six sexy,2000–2004,TV-14,"30,m","Comedy,Romance",8.5,Six best friends talk about all aspects of sex and relationships on their never-ending quest to find true love.,"Jack Davenport,Gina Bellman,Sarah Alexander,Kate Isitt,Ben Miles,Richard Coyle,Richard Mylan,Lou Gish,Olivia Caffrey,Mariella Frostrup,Lloyd Owen,Elizabeth Marmur,Emilia Fox,Adam Astill,Michael Price,Amanda Abbington,Anat Dychtwald,Raji James",English,United Kingdom,28,4 seasons
Black Sails,2014–2017,16,"56,m","Adventure,Drama",8.2,"Follows Captain Flint and his pirates twenty years prior to Robert Louis Stevenson's classic novel ""Treasure Island.""","Jessica Parker Kennedy,Toby Stephens,Hannah New,Zach McGowan,Luke Arnold,Toby Schmitz,Clara Paget,Winston Chong,Tom Hopper,Andre Jacobs,Lise Slabber,Laudo Liebenberg,Craig Jackson,Hakeem Kae-Kazim,Patrick Lyster,Luke Roberts,Louise Barnes,Zethu Dlomo",English,"South Africa,United States",38,4 seasons
Star Wars: The Clone Wars,2008–2020,Tous publics,"23,m","Animation,Action,Adventure",8.3,Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.,"Tom Kane,Dee Bradley Baker,Matt Lanter,James Arnold Taylor,Ashley Eckstein,Matthew Wood,Corey Burton,Terrence 'T.C.' Carson,Catherine Taber,Stephen Stanton,Ian Abercrombie,Nika Futterman,Phil LaMarr,Anna Graves,David Acord,Sam Witwer,Brian George,Anthony Daniels",English,United States,133,7 seasons
Killing Eve,2018–2022,10,"42,m","Action,Adventure,Drama",8.2,"After a series of events, the lives of a security operative and an assassin become inextricably linked.","Jodie Comer,Sandra Oh,Fiona Shaw,Kim Bodnia,Owen McDonnell,Sean Delaney,Kirby Howell-Baptiste,Harriet Walter,Edward Bluemel,Danny Sapani,Turlough Convery,Gemma Whelan,Henry Lloyd-Hughes,Nina Sosanya,Ayoola Smart,Steve Pemberton,Raj Bajaj,Yuli Lagodinsky","English,French,Spanish,Catalan,Russian,Polish,Romanian","United States,United Kingdom,Italy",32,4 seasons
Samurai chanpurû,2004–2005,Tous publics,"24,m","Animation,Action,Adventure",8.5,"Fuu, a waitress who works in a teahouse, rescues two master swordsmen, Mugen and Jin, from their execution to help her find the ""samurai who smells of sunflowers.""","Kazuya Nakai,Ginpei Sato,Ayako Kawasumi,Steve Blum,Kirk Thornton,Kari Wahlgren,Doug Stone,Erik Davies,Masakazu Kohara,Tsuguo Mogami,Shunsuke Sakuya,Yoshinori Sonobe,Masao Harada,Takehiro Murozono,Paul St. Peter,Steve Kramer,Kim Strauss,Doug Erholtz",Japanese,Japan,26,3 years
Harry Bosch,2014–2021,Tous publics,"51,m","Crime,Drama",8.4,An L.A.P.D. homicide detective works to solve the murder of a thirteen-year-old boy while standing trial in federal court for the murder of a serial killer.,"Titus Welliver,Jamie Hector,Amy Aquino,Lance Reddick,Madison Lintz,Troy Evans,DaJuan Johnson,Gregory Scott Cummins,Scott Klace,Mimi Rogers,Paul Calderon,Deji LaRay,Linda Park,Jacqueline Obradors,Sarah Clarke,Daya Vaidya,John Eddins,Mark Herrier",English,United States,68,7 seasons
The Knick,2014–2015,16,"58,m","Drama,History",8.5,A look at the professional and personal lives of the staff at New York's Knickerbocker Hospital during the early part of the twentieth century.,"André Holland,Clive Owen,Jeremy Bobb,Juliet Rylance,Eve Hewson,Michael Angarano,Cara Seymour,Eric Johnson,Chris Sullivan,Grainger Hines,Zuzanna Szadkowski,Maya Kazan,Ylfa Edelstein,Lucas Papaelias,Leon Addison Brown,Charles Aitken,Tom Lipinski,Jennifer Ferrin","English,Latvian,Mandarin,Cantonese,Hebrew,Greek,Italian,Polish,Spanish",United States,21,2 seasons
La Ligue des justiciers: Nouvelle Génération,2010– ,Tous publics,"23,m","Animation,Action,Adventure",8.6,Teenage superheroes strive to prove themselves as members of the Justice League.,"Danica McKellar,Nolan North,Jesse McCartney,Stephanie Lemelin,Khary Payton,Jason Spisak,Zehra Fazal,Bruce Greenwood,Troy Baker,Crispin Freeman,Kevin Michael Richardson,Masasa Moyo,Grey Griffin,Phil LaMarr,Eric Lopez,Greg Cipes,Jason Marsden,Dee Bradley Baker",English,United States,98,4 seasons
